+-----------+------------------------------+-----------------+-------------+-------------------------------------------------------+
| career_id | career_name                  | roadmap_step_id | step_number | step_name                                             |
+-----------+------------------------------+-----------------+-------------+-------------------------------------------------------+
|         1 | Frontend Developer           |               1 |           1 | Learn HTML                                            |
|         1 | Frontend Developer           |               2 |           2 | Master CSS                                            |
|         1 | Frontend Developer           |               3 |           3 | Learn JavaScript                                      |
|         1 | Frontend Developer           |               4 |           4 | Learn React                                           |
|         1 | Frontend Developer           |               5 |           5 | Build Projects                                        |
|         1 | Frontend Developer           |               6 |           6 | Learn Tools                                           |
|         1 | Frontend Developer           |               7 |           7 | Apply for Jobs                                        |
|         2 | Backend Developer            |               8 |           1 | Learn JavaScript / Java Fundamentals                  |
|         2 | Backend Developer            |               9 |           2 | Learn SQL & Database Fundamentals                     |
|         2 | Backend Developer            |              10 |           3 | Learn Node.js & Express.js                            |
|         2 | Backend Developer            |              11 |           4 | Build REST APIs                                       |
|         2 | Backend Developer            |              12 |           5 | Learn Authentication & Security                       |
|         2 | Backend Developer            |              13 |           6 | Learn Git, Docker & Deployment                        |
|         2 | Backend Developer            |              14 |           7 | Build Real-world Projects & Apply for Jobs            |
|         3 | Full Stack Developer         |              15 |           1 | Learn HTML & CSS                                      |
|         3 | Full Stack Developer         |              16 |           2 | Master JavaScript                                     |
|         3 | Full Stack Developer         |              17 |           3 | Learn React                                           |
|         3 | Full Stack Developer         |              18 |           4 | Learn Backend Development                             |
|         3 | Full Stack Developer         |              19 |           5 | Learn SQL, MongoDB & REST APIs                        |
|         3 | Full Stack Developer         |              20 |           6 | Build Full Stack Projects                             |
|         3 | Full Stack Developer         |              21 |           7 | Deploy & Apply for Jobs                               |
|         4 | Software Engineer            |              22 |           1 | Learn Programming Fundamentals                        |
|         4 | Software Engineer            |              23 |           2 | Master DSA & OOP                                      |
|         4 | Software Engineer            |              24 |           3 | Learn Databases & SQL                                 |
|         4 | Software Engineer            |              25 |           4 | Build Software Projects                               |
|         4 | Software Engineer            |              26 |           5 | Learn System Design Basics                            |
|         4 | Software Engineer            |              27 |           6 | Practice Interview Problems                           |
|         4 | Software Engineer            |              28 |           7 | Apply for Software Engineering Roles                  |
|         5 | Mobile App Developer         |              29 |           1 | Learn Programming Basics                              |
|         5 | Mobile App Developer         |              30 |           2 | Choose Android or iOS                                 |
|         5 | Mobile App Developer         |              31 |           3 | Learn Flutter or React Native                         |
|         5 | Mobile App Developer         |              32 |           4 | Work with APIs & Firebase                             |
|         5 | Mobile App Developer         |              33 |           5 | Build Real-world Apps                                 |
|         5 | Mobile App Developer         |              34 |           6 | Publish Mobile Applications                           |
|         5 | Mobile App Developer         |              35 |           7 | Apply for Mobile Developer Jobs                       |
|         6 | DevOps Engineer              |              36 |           1 | Learn Linux & Networking                              |
|         6 | DevOps Engineer              |              37 |           2 | Master Git & Scripting                                |
|         6 | DevOps Engineer              |              38 |           3 | Learn Docker                                          |
|         6 | DevOps Engineer              |              39 |           4 | Learn Kubernetes                                      |
|         6 | DevOps Engineer              |              40 |           5 | Master Cloud Platforms                                |
|         6 | DevOps Engineer              |              41 |           6 | Build CI/CD Pipelines                                 |
|         6 | DevOps Engineer              |              42 |           7 | Deploy Production Projects                            |
|         7 | AI Engineer                  |              43 |           1 | Learn Python & Mathematics                            |
|         7 | AI Engineer                  |              44 |           2 | Master Machine Learning                               |
|         7 | AI Engineer                  |              45 |           3 | Learn Deep Learning                                   |
|         7 | AI Engineer                  |              46 |           4 | Build AI Projects                                     |
|         7 | AI Engineer                  |              47 |           5 | Learn NLP & Computer Vision                           |
|         7 | AI Engineer                  |              48 |           6 | Deploy AI Models                                      |
|         7 | AI Engineer                  |              49 |           7 | Apply for AI Engineer Roles                           |
|         8 | Machine Learning Engineer    |              50 |           1 | Learn Python & Mathematics                            |
|         8 | Machine Learning Engineer    |              51 |           2 | Master Statistics & Probability                       |
|         8 | Machine Learning Engineer    |              52 |           3 | Learn Machine Learning Algorithms                     |
|         8 | Machine Learning Engineer    |              53 |           4 | Master TensorFlow & PyTorch                           |
|         8 | Machine Learning Engineer    |              54 |           5 | Build Machine Learning Projects                       |
|         8 | Machine Learning Engineer    |              55 |           6 | Deploy ML Models                                      |
|         8 | Machine Learning Engineer    |              56 |           7 | Apply for ML Engineer Roles                           |
|         9 | Data Scientist               |              57 |           1 | Learn Python & SQL                                    |
|         9 | Data Scientist               |              58 |           2 | Master Statistics & Mathematics                       |
|         9 | Data Scientist               |              59 |           3 | Learn Data Analysis                                   |
|         9 | Data Scientist               |              60 |           4 | Master Machine Learning                               |
|         9 | Data Scientist               |              61 |           5 | Build Data Science Projects                           |
